index,clase,DEM,ENTIDAD,year,FUENTE_INF,LATITUD,LONGITUD,LAT,LON,LITOLOGIA,MUNICIPIO,Moisture,NBR,NDVI,NDWI,PRE_ANUAL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,SWIR,TIPO,slope
1_0000000000000000027d,1,2678,Puebla,2015,Campo_2015,19 20 34.308,-97 17 36.372,19.342863,-97.293437,Basalto,Guadalupe Victoria,0.0472030080,0.2471345660,0.426256657,-0.479330629,592,0.03265,0.04216500,0.06900500,0.08055500,0.20188500,0.12304250,0.18860250,Cado,11.36259324
1_0000000000000000027f,1,2702,Puebla,2015,Campo_2015,19 20 37.872,-97 17 28.044,19.343853,-97.291123,Basalto,Guadalupe Victoria,0.1269175560,0.3107427660,0.453905910,-0.467284203,606,0.03335125,0.04497000,0.06996750,0.07242875,0.20396125,0.10819250,0.14845250,Cado,22.88642884
1_00000000000000000280,1,2580,Puebla,2015,Campo_2015,19 20 40.890,-97 18 6.606,19.344692,-97.301835,Toba rioltica,Guadalupe Victoria,-0.0314079040,0.0717227760,0.204116553,-0.289101571,505,0.06413750,0.08014250,0.11949500,0.14672000,0.20815500,0.18951000,0.22666250,Cado,8.28345064
1_00000000000000000281,1,2805,Puebla,2015,Campo_2015,19 21 22.511,-97 15 56.037,19.356253,-97.265566,Toba rioltica,Lafragua,0.0221612790,0.1329483690,0.273861945,-0.326959670,806,0.01910625,0.02631125,0.04337500,0.04864125,0.08429500,0.06734125,0.08162750,Cado,29.15515953
1_000000000000000002e9,1,2858,Puebla,2015,Campo_2015,19 21 4.164,-97 13 34.656,19.351157,-97.226293,Andesita-Dacita,Lafragua,0.0077913860,0.1372755910,0.487790972,-0.538454711,1084,0.02049500,0.02823625,0.05150125,0.06020500,0.18638875,0.12843250,0.16080000,Cado,23.01113873
1_000000000000000002f2,1,3129,Puebla,2015,Campo_2015,19 19 3.324,-97 13 38.281,19.31759,-97.2273,Toba rioltica,Chilchotla,0.1445679070,0.4045633380,0.764761388,-0.709988356,1149,0.01007250,0.01290500,0.03163250,0.02715000,0.17373875,0.07549500,0.13840125,Cado,5.629007065
1_0000000000000000001d,1,1010,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 19 11.052,-97 2 3.762,19.319737,-97.034378,Toba andestica,Ixhuacn de los Reyes,0.3043535350,0.5612952110,0.776023388,-0.706642747,1860,0.02096250,0.02682000,0.05239500,0.03663750,0.28655750,0.08036250,0.15871000,Cado,24.23317886
1_0000000000000000001e,1,1128,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 19 22.158,-97 1 56.586,19.322822,-97.032385,Toba andestica,Ixhuacn de los Reyes,0.3854400220,0.6651812200,0.828463316,-0.765223920,1883,0.02365750,0.02332750,0.04057000,0.02855250,0.32093250,0.06356000,0.13701250,Cado,23.13843196
1_0000000000000000001f,1,1216,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 19 33.504,-97 1 57.576,19.325973,-97.03266,Toba andestica,Ixhuacn de los Reyes,0.3347295820,0.6145446900,0.805492401,-0.737001598,1950,0.02277750,0.02533500,0.04884750,0.03181125,0.32343500,0.07467000,0.15743125,Cado,31.85364593
1_00000000000000000020,1,1276,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 19 36.894,-97 1 54.090,19.326915,-97.031692,Toba andestica,Ixhuacn de los Reyes,0.3617723880,0.6510136130,0.838170707,-0.766856730,1950,0.02173250,0.02459250,0.04444750,0.03035375,0.33970125,0.07472500,0.16053875,Cado,32.19264672
1_00000000000000000021,1,1314,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 19 37.686,-97 2 2.586,19.327135,-97.034052,Toba andestica,Ixhuacn de los Reyes,0.31072098,0.6156359910,0.800216198,-0.734337330,1967,0.02314875,0.02624250,0.04909500,0.03665125,0.33703375,0.07747500,0.17323000,Cado,33.88658153
1_00000000000000000022,1,1297,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 19 38.568,-97 1 59.178,19.32738,-97.033105,Toba andestica,Ixhuacn de los Reyes,0.3088897470,0.6013050680,0.806779206,-0.745704412,1981,0.02335500,0.02822250,0.05547500,0.03889250,0.38247750,0.09447000,0.19946500,Cado,33.19721711
1_00000000000000000024,1,1490,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 20 45.090,-97 4 2.274,19.345858,-97.067298,Toba andestica,Ixhuacn de los Reyes,0.3418320120,0.6240245100,0.835203409,-0.747893155,2015,0.01513250,0.01659000,0.04139500,0.02484000,0.27723500,0.06056250,0.13184250,Cado,4.989079501
1_0000000000000000027b,1,1463,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 19 23.280,-97 4 33.278,19.323133,-97.075911,Caliza-Doloma,Ixhuacn de los Reyes,0.2254728230,0.5056437850,0.747748494,-0.689970374,2074,0.02385000,0.02737000,0.05212000,0.03771000,0.30459750,0.08844750,0.17358750,Cado,50.36091036
1_00000000000000000283,1,1031,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 20 53.694,-96 57 42.564,19.348248,-96.961823,Toba andestica,Cosautln de Carvajal,0.3166854680,0.5835208890,0.773047686,-0.702647924,1783,0.01638375,0.01910625,0.04461250,0.03310375,0.25728375,0.06780875,0.13240625,Cado,21.4620501
1_00000000000000000285,1,984,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 20 57.120,-96 58 5.370,19.3492,-96.968158,Toba andestica,Cosautln de Carvajal,0.2171923520,0.4617853160,0.684996128,-0.643133402,1774,0.02338250,0.02680625,0.05400375,0.04582250,0.24921250,0.09411250,0.16353625,Cado,21.81731012
1_00000000000000000287,1,1070,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 21 13.254,-96 58 15.618,19.353682,-96.971005,Toba andestica,Cosautln de Carvajal,0.2360139340,0.5133634810,0.736026824,-0.687035203,1835,0.01771750,0.02539000,0.05476000,0.04128500,0.31909000,0.08927250,0.17749250,Cado,17.08850808
1_00000000000000000288,1,1113,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 21 24.954,-96 58 26.214,19.356932,-96.973948,Toba andestica,Teocelo,0.2327177080,0.4964931310,0.660977542,-0.646811247,1870,0.02801625,0.03130250,0.05583250,0.05374250,0.25145375,0.08916250,0.16144625,Cado,19.05056097
