system:index,DEM,Moisture,NBR,NDVI,NDWI,PRE_ANUAL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SWIR,class,slope,year,LON,
0_0_0,953,0.2884368,0.570139,0.7485153,-0.68186665,2368,0.0266275,0.0293225,0.0570425,0.0464825,0.292305,0.168775,0.08435,0.168775,0,7.858485,2013,-96.86349554,19.12859091
0_1_0,563,0.38348374,0.6966116,0.86872685,-0.7713742,2056,0.0294325,0.028305,0.04596,0.02682,0.33834,0.1494975,0.0693075,0.1494975,0,4.0236025,2013,-96.85325475,18.92862593
0_2_0,1307,0.3757648,0.6468579,0.8145192,-0.73347694,2269,0.01813,0.0245375,0.053,0.0361975,0.3845125,0.1741925,0.079675,0.1741925,0,13.412151,2013,-97.02627027,19.3932346
0_3_0,1352,0.1708317,0.34005043,0.5640985,-0.53746414,2141,0.045135,0.05344,0.0799225,0.075495,0.25991,0.184065,0.13088,0.184065,0,7.4478035,2013,-97.10900511,18.8900882
0_4_0,2279,0.3279535,0.6291192,0.84203064,-0.7397416,2598,0.01817125,0.01960125,0.04638625,0.0261875,0.29515125,0.15256375,0.06780875,0.15256375,0,53.403458,2013,-97.09984229,18.77339705
0_5_0,2603,-0.002772803,0.033570845,0.12776327,-0.21220534,718,0.0642475,0.0815175,0.111795,0.1411375,0.1932225,0.1842025,0.17466,0.1842025,0,13.055937,2013,-97.44668182,19.0795429
0_6_0,1104,0.41587082,0.6632049,0.7919836,-0.6785921,2067,0.02451,0.02715,0.05641,0.0394975,0.2644475,0.147215,0.0721675,0.147215,0,2.7802885,2013,-96.98611558,18.94129218
0_7_0,2636,-0.0294847,0.03721041,0.19660366,-0.3091499,651,0.0512125,0.06499,0.0995575,0.114875,0.2124175,0.198585,0.16553,0.198585,0,6.5377045,2013,-97.40086774,19.11754163
0_8_0,1296,-0.013884621,0.06528371,0.2704142,-0.3057341,2141,0.0902625,0.09561125,0.11955,0.13072875,0.20792125,0.22436625,0.18993625,0.22436625,0,4.329215,2013,-97.10011179,18.875266
0_9_0,1376,0.35486603,0.62917084,0.82311714,-0.7390221,2269,0.0266,0.0304225,0.05982,0.0352625,0.4180075,0.2026,0.0887225,0.2026,0,9.640654,2013,-97.02195836,19.38865319
0_10_0,2616,-0.03164278,0.0714614,0.25434953,-0.33510673,689,0.0501125,0.0621025,0.0918575,0.104755,0.2235,0.20909,0.1576375,0.20909,0,2.1697288,2013,-97.45018525,19.06606817
0_11_0,2425,-0.054468207,0.025538012,0.17811538,-0.28584757,782,0.0625425,0.07707625,0.11658,0.13807125,0.21177125,0.231255,0.185165,0.231255,0,6.131492,2013,-97.39520836,19.22129705
0_12_0,2361,0.3252869,0.6165014,0.83202124,-0.7684069,1800,0.0172225,0.0174975,0.0376,0.026325,0.2871075,0.144905,0.0681525,0.144905,0,21.400375,2013,-97.12140186,19.40051095
0_13_0,2443,0.10708252,0.18914324,0.28782052,-0.32706675,829,0.05405875,0.06653,0.1027475,0.11788625,0.21124875,0.17417875,0.1525225,0.17417875,0,4.9762125,2013,-97.44183092,18.90194597
0_14_0,2092,0.030337162,0.12852208,0.3884172,-0.42089418,1824,0.07977125,0.0951025,0.134015,0.1454275,0.365345,0.323765,0.2594975,0.323765,0,14.611754,2013,-97.15562767,18.77663098
0_15_0,1079,0.4044027,0.67743623,0.8787517,-0.7832236,2411,0.01352375,0.01923,0.046785,0.02438625,0.39560875,0.1808475,0.08089875,0.1808475,0,18.038465,2013,-96.83358164,18.98441131
0_16_0,844,0.40761295,0.71515924,0.878387,-0.7445717,1873,0.02528,0.02218625,0.0427425,0.02015125,0.31327375,0.13097625,0.04921875,0.13097625,0,5.8807077,2013,-96.840858,19.2040494
0_17_0,2392,-0.01723214,0.0633334,0.18370205,-0.28149277,872,0.07091625,0.09156875,0.13523875,0.16608,0.2308425,0.24331375,0.20896625,0.24331375,0,2.700739,2013,-97.3480468,19.31912358
